Pixel,Value,Minima,,,,,,,,
60.9,44864,,,,,,,,,
61,44864,,,,,,,,,
61.1,44864,,,,,,,,,
61.2,44864,,,,,,,,,
61.3,44864,,,,,,,,,
61.4,44864,,,,,,,,,
61.5,44864,,,,,,,,,
61.6,43584,,,,,,,,,
61.7,43584,,,,,,,,,
61.8,43584,,,,,,,,,
61.9,43584,,,,,,,,,
62,43584,,,,,,,,,
62.1,43584,,,,,,,,,
62.2,43584,,,,,,,,,
62.3,43584,,,,,,,,,
62.4,43584,,,,,,,,,
62.5,43584,,,,,,,,,
62.6,43904,,,,,,,,,
62.7,43904,,,,,,,,,
62.8,43904,,,,,,,,,
62.9,43904,,,,,,,,,
63,43904,,,,,,,,,
63.1,43904,,,,,,,,,
63.2,43904,,,,,,,,,
63.3,43904,,,,,,,,,
63.4,43904,,,,,,,,,
63.5,43904,,,,,,,,,
63.6,44352,,,,,,,,,
63.7,44352,,,,,,,,,
63.8,44352,,,,,,,,,
63.9,44352,,,,,,,,,
64,44352,,,,,,,,,
64.1,44352,,,,,,,,,
64.2,44352,,,,,,,,,
64.3,44352,,,,,,,,,
64.4,44352,,,,,,,,,
64.5,44352,,,,,,,,,
64.6,44992,,,,,,,,,
64.7,44992,,,,,,,,,
64.8,44992,,,,,,,,,
64.9,44992,,,,,,,,,
65,44992,,,,,,,,,
65.1,44992,,,,,,,,,
65.2,44992,,,,,,,,,
65.3,44992,,,,,,,,,
65.4,44992,,,,,,,,,
65.5,44992,,,,,,,,,
65.6,43968,,,,,,,,,
65.7,43968,,,,,,,,,
65.8,43968,,,,,,,,,
65.9,43968,,,,,,,,,
66,43968,,,,,,,,,
66.1,43968,,,,,,,,,
66.2,43968,,,,,,,,,
66.3,43968,,,,,,,,,
66.4,43968,,,,,,,,,
66.5,43968,,,,,,,,,
66.6,44800,,,,,,,,,
66.7,44800,,,,,,,,,
66.8,44800,,,,,,,,,
66.9,44800,,,,,,,,,
67,44800,,,,,,,,,
67.1,44800,,,,,,,,,
67.2,44800,,,,,,,,,
67.3,44800,,,,,,,,,
67.4,44800,,,,,,,,,
67.5,44800,,,,,,,,,
67.6,44544,,,,,,,,,
67.7,44544,,,,,,,,,
67.8,44544,,,,,,,,,
67.9,44544,,,,,,,,,
68,44544,,,,,,,,,
68.1,44544,,,,,,,,,
68.2,44544,,,,,,,,,
68.3,44544,,,,,,,,,
68.4,44544,,,,,,,,,
68.5,44544,,,,,,,,,
68.6,44672,,,,,,,,,
68.7,44672,,,,,,,,,
68.8,44672,,,,,,,,,
68.9,44672,,,,,,,,,
69,44672,,,,,,,,,
69.1,44672,,,,,,,,,
69.2,44672,,,,,,,,,
69.3,44672,,,,,,,,,
69.4,44672,,,,,,,,,
69.5,44672,,,,,,,,,
69.6,43904,,,,,,,,,
69.7,43904,,,,,,,,,
69.8,43904,,,,,,,,,
69.9,43904,,,,,,,,,
70,43904,,,,,,,,,
70.1,43904,,,,,,,,,
70.2,43904,,,,,,,,,
70.3,43904,,,,,,,,,
70.4,43904,,,,,,,,,
70.5,43904,,,,,,,,,
70.6,44096,,,,,,,,,
70.7,44096,,,,,,,,,
70.8,44096,,,,,,,,,
70.9,44096,,,,,,,,,
71,44096,,,,,,,,,
71.1,44096,,,,,,,,,
71.2,44096,,,,,,,,,
71.3,44096,,,,,,,,,
71.4,44096,,,,,,,,,
71.5,44096,,,,,,,,,
71.6,43392,,,,,,,,,
71.7,43392,,,,,,,,,
71.8,43392,,,,,,,,,
71.9,43392,,,,,,,,,
72,43392,,,,,,,,,
72.1,43392,,,,,,,,,
72.2,43392,,,,,,,,,
72.3,43392,,,,,,,,,
72.4,43392,,,,,,,,,
72.5,43392,,,,,,,,,
72.6,40640,,,,,,,,,
72.7,40640,,,,,,,,,
72.8,40640,,,,,,,,,
72.9,40640,,,,,,,,,
73,40640,,,,,,,,,
73.1,40640,,,,,,,,,
73.2,40640,,,,,,,,,
73.3,40640,,,,,,,,,
73.4,40640,,,,,,,,,
73.5,40640,,,,,,,,,
73.6,29440,,,,,,,,,
73.7,29440,,,,,,,,,
73.8,29440,,,,,,,,,
73.9,29440,,,,,,,,,
74,29440,,,,,,,,,
74.1,29440,,,,,,,,,
74.2,29440,,,,,,,,,
74.3,29440,,,,,,,,,
74.4,29440,,,,,,,,,
74.5,29440,,,,,,,,,
74.6,12800,,,,,,,,,
74.7,12800,,,,,,,,,
74.8,12800,,,,,,,,,
74.9,12800,,,,,,,,,
75,12800,,,,,,,,,
75.1,12800,,,,,,,,,
75.2,12800,,,,,,,,,
75.3,12800,,,,,,,,,
75.4,12800,,,,,,,,,
75.5,12800,,,,,,,,,
75.6,9536,,,,,,,,,
75.7,9536,,,,,,,,,
75.8,9536,,,,,,,,,
75.9,9536,,,,,,,,,
76,9536,,,,,,,,,
76.1,9536,,,,,,,,,
76.2,9536,,,,,,,,,
76.3,9536,,,,,,,,,
76.4,9536,,,,,,,,,
76.5,9536,,,,,,,,,
76.6,8256,,,,,,,,,
76.7,8256,,,,,,,,,
76.8,8256,,,,,,,,,
76.9,8256,,,,,,,,,
77,8256,,,,,,,,,
77.1,8256,,,,,,,,,
77.2,8256,,,,,,,,,
77.3,8256,,,,,,,,,
77.4,8256,,,,,,,,,
77.5,8256,,,,,,,,,
77.6,8704,,,,,,,,,
77.7,8704,,,,,,,,,
77.8,8704,,,,,,,,,
77.9,8704,,,,,,,,,
78,8704,,,,,,,,,
78.1,8704,,,,,,,,,
78.2,8704,,,,,,,,,
78.3,8704,,,,,,,,,
78.4,8704,,,,,,,,,
78.5,8704,,,,,,,,,
78.6,11712,,,,,,,,,
78.7,11712,,,,,,,,,
78.8,11712,,,,,,,,,
78.9,11712,,,,,,,,,
79,11712,,,,,,,,,
79.1,11712,,,,,,,,,
79.2,11712,,,,,,,,,
79.3,11712,,,,,,,,,
79.4,11712,,,,,,,,,
79.5,11712,,,,,,,,,
79.6,29440,,,,,,,,,
79.7,29440,,,,,,,,,
79.8,29440,,,,,,,,,
79.9,29440,,,,,,,,,
80,29440,,,,,,,,,
80.1,29440,,,,,,,,,
80.2,29440,,,,,,,,,
80.3,29440,,,,,,,,,
80.4,29440,,,,,,,,,
80.5,29440,,,,,,,,,
80.6,39296,,,,,,,,,
80.7,39296,,,,,,,,,
80.8,39296,,,,,,,,,
80.9,39296,,,,,,,,,
81,39296,,,,,,,,,
81.1,39296,,,,,,,,,
81.2,39296,,,,,,,,,
81.3,39296,,,,,,,,,
81.4,39296,,,,,,,,,
81.5,39296,,,,,,,,,
81.6,42688,,,,,,,,,
81.7,42688,,,,,,,,,
81.8,42688,,,,,,,,,
81.9,42688,,,,,,,,,
82,42688,,,,,,,,,
82.1,42688,,,,,,,,,
82.2,42688,,,,,,,,,
82.3,42688,,,,,,,,,
82.4,42688,,,,,,,,,
82.5,42688,,,,,,,,,
82.6,42496,,,,,,,,,
82.7,42496,,,,,,,,,
82.8,42496,,,,,,,,,
82.9,42496,,,,,,,,,
83,42496,,,,,,,,,
83.1,42496,,,,,,,,,
83.2,42496,,,,,,,,,
83.3,42496,,,,,,,,,
83.4,42496,,,,,,,,,
83.5,42496,,,,,,,,,
83.6,38016,,,,,,,,,
83.7,38016,,,,,,,,,
83.8,38016,,,,,,,,,
83.9,38016,,,,,,,,,
84,38016,,,,,,,,,
84.1,38016,,,,,,,,,
84.2,38016,,,,,,,,,
84.3,38016,,,,,,,,,
84.4,38016,,,,,,,,,
84.5,38016,,,,,,,,,
84.6,18176,,,,,,,,,
84.7,18176,,,,,,,,,
84.8,18176,,,,,,,,,
84.9,18176,,,,,,,,,
85,18176,,,,,,,,,
85.1,18176,,,,,,,,,
85.2,18176,,,,,,,,,
85.3,18176,,,,,,,,,
85.4,18176,,,,,,,,,
85.5,18176,,,,,,,,,
85.6,9280,,,,,,,,,
85.7,9280,,,,,,,,,
