Pixels, Value
92.6, 58048
92.7, 58816
92.8, 58816
92.9, 58816
93, 58816
93.1, 58816
93.2, 58816
93.3, 58816
93.4, 58816
93.5, 58816
93.6, 58816
93.7, 60928
93.8, 60928
93.9, 60928
94, 60928
94.1, 60928
94.2, 60928
94.3, 60928
94.4, 60928
94.5, 60928
94.6, 60928
94.7, 59584
94.8, 59584
94.9, 59584
95, 59584
95.1, 59584
95.2, 59584
95.3, 59584
95.4, 59584
95.5, 59584
95.6, 59584
95.7, 59264
95.8, 59264
95.9, 59264
96, 59264
96.1, 59264
96.2, 59264
96.3, 59264
96.4, 59264
96.5, 59264
96.6, 59264
96.7, 60288
96.8, 60288
96.9, 60288
97, 60288
97.1, 60288
97.2, 60288
97.3, 60288
97.4, 60288
97.5, 60288
97.6, 60288
97.7, 60544
97.8, 60544
97.9, 60544
98, 60544
98.1, 60544
98.2, 60544
98.3, 60544
98.4, 60544
98.5, 60544
98.6, 60544
98.7, 60992
98.8, 60992
98.9, 60992
99, 60992
99.1, 60992
99.2, 60992
99.3, 60992
99.4, 60992
99.5, 60992
99.6, 60992
99.7, 61952
99.8, 61952
99.9, 61952
100, 61952
100.1, 61952
100.2, 61952
100.3, 61952
100.4, 61952
100.5, 61952
100.6, 61952
100.7, 60928
100.8, 60928
100.9, 60928
101, 60928
101.1, 60928
101.2, 60928
101.3, 60928
101.4, 60928
101.5, 60928
101.6, 60928
101.7, 60992
101.8, 60992
101.9, 60992
102, 60992
102.1, 60992
102.2, 60992
102.3, 60992
102.4, 60992
102.5, 60992
102.6, 60992
102.7, 60160
102.8, 60160
102.9, 60160
103, 60160
103.1, 60160
103.2, 60160
103.3, 60160
103.4, 60160
103.5, 60160
103.6, 60160
103.7, 59904
103.8, 59904
103.9, 59904
104, 59904
104.1, 59904
104.2, 59904
104.3, 59904
104.4, 59904
104.5, 59904
104.6, 59904
104.7, 60288
104.8, 60288
104.9, 60288
105, 60288
105.1, 60288
105.2, 60288
105.3, 60288
105.4, 60288
105.5, 60288
105.6, 60288
105.7, 61120
105.8, 61120
105.9, 61120
106, 61120
106.1, 61120
106.2, 61120
106.3, 61120
106.4, 61120
106.5, 61120
106.6, 61120
106.7, 60992
106.8, 60992
106.9, 60992
107, 60992
107.1, 60992
107.2, 60992
107.3, 60992
107.4, 60992
107.5, 60992
107.6, 60992
107.7, 61312
107.8, 61312
107.9, 61312
108, 61312
108.1, 61312
108.2, 61312
108.3, 61312
108.4, 61312
108.5, 61312
108.6, 61312
108.7, 61888
108.8, 61888
108.9, 61888
109, 61888
109.1, 61888
109.2, 61888
109.3, 61888
109.4, 61888
109.5, 61888
109.6, 61888
109.7, 59904
109.8, 59904
109.9, 59904
110, 59904
110.1, 59904
110.2, 59904
110.3, 59904
110.4, 59904
110.5, 59904
110.6, 59904
110.7, 60672
110.8, 60672
110.9, 60672
111, 60672
111.1, 60672
111.2, 60672
111.3, 60672
111.4, 60672
111.5, 60672
111.6, 60672
111.7, 60672
111.8, 60672
111.9, 60672
112, 60672
112.1, 60672
112.2, 60672
112.3, 60672
112.4, 60672
112.5, 60672
112.6, 60672
112.7, 61120
112.8, 61120
112.9, 61120
113, 61120
113.1, 61120
113.2, 61120
113.3, 61120
113.4, 61120
113.5, 61120
113.6, 61120
113.7, 61248
113.8, 61248
113.9, 61248
114, 61248
114.1, 61248
114.2, 61248
114.3, 61248
114.4, 61248
114.5, 61248
114.6, 61248
114.7, 60736
114.8, 60736
114.9, 60736
115, 60736
115.1, 60736
115.2, 60736
115.3, 60736
115.4, 60736
115.5, 60736
115.6, 60736
115.7, 61248
115.8, 61248
115.9, 61248
116, 61248
116.1, 61248
116.2, 61248
116.3, 61248
116.4, 61248
116.5, 61248
116.6, 61248
116.7, 60672
116.8, 60672
116.9, 60672
117, 60672
117.1, 60672
117.2, 60672
117.3, 60672
117.4, 60672
117.5, 60672
117.6, 60672
117.7, 59712
117.8, 59712
117.9, 59712
118, 59712
118.1, 59712
118.2, 59712
118.3, 59712
118.4, 59712
118.5, 59712
118.6, 59712
118.7, 60672
118.8, 60672
118.9, 60672
119, 60672
119.1, 60672
119.2, 60672
119.3, 60672
119.4, 60672
119.5, 60672
119.6, 60672
119.7, 61120
119.8, 61120
119.9, 61120
120, 61120
120.1, 61120
120.2, 61120
120.3, 61120
120.4, 61120
120.5, 61120
120.6, 61120
120.7, 60096
120.8, 60096
120.9, 60096
121, 60096
121.1, 60096
121.2, 60096
121.3, 60096
121.4, 60096
121.5, 60096
121.6, 60096
121.7, 61376
121.8, 61376
121.9, 61376
122, 61376
122.1, 61376
122.2, 61376
122.3, 61376
122.4, 61376
122.5, 61376
122.6, 61376
122.7, 61312
122.8, 61312
122.9, 61312
123, 61312
123.1, 61312
123.2, 61312
123.3, 61312
123.4, 61312
123.5, 61312
123.6, 61312
123.7, 60928
123.8, 60928
123.9, 60928
124, 60928
124.1, 60928
124.2, 60928
124.3, 60928
124.4, 60928
124.5, 60928
124.6, 60928
124.7, 61440
124.8, 61440
124.9, 61440
125, 61440
125.1, 61440
125.2, 61440
125.3, 61440
125.4, 61440
125.5, 61440
125.6, 61440
125.7, 60864
125.8, 60864
125.9, 60864
126, 60864
126.1, 60864
126.2, 60864
126.3, 60864
126.4, 60864
126.5, 60864
126.6, 60864
126.7, 60928
126.8, 60928
126.9, 60928
127, 60928
127.1, 60928
127.2, 60928
127.3, 60928
127.4, 60928
127.5, 60928
127.6, 60928
127.7, 60416
127.8, 60416
127.9, 60416
128, 60416
128.1, 60416
128.2, 60416
128.3, 60416
128.4, 60416
128.5, 60416
128.6, 60416
128.7, 60864
128.8, 60864
128.9, 60864
129, 60864
129.1, 60864
129.2, 60864
129.3, 60864
129.4, 60864
129.5, 60864
129.6, 60864
129.7, 61760
129.8, 61760
129.9, 61760
130, 61760
130.1, 61760
130.2, 61760
130.3, 61760
130.4, 61760
130.5, 61760
130.6, 61760
130.7, 61184
130.8, 61184
130.9, 61184
131, 61184
131.1, 61184
131.2, 61184
131.3, 61184
131.4, 61184
131.5, 61184
131.6, 61184
131.7, 61440
131.8, 61440
131.9, 61440
132, 61440
132.1, 61440
132.2, 61440
132.3, 61440
132.4, 61440
132.5, 61440
132.6, 61440
132.7, 61248
132.8, 61248
132.9, 61248
133, 61248
133.1, 61248
133.2, 61248
133.3, 61248
133.4, 61248
133.5, 61248
133.6, 61248
133.7, 61376
133.8, 61376
133.9, 61376
134, 61376
134.1, 61376
134.2, 61376
134.3, 61376
134.4, 61376
134.5, 61376
134.6, 61376
134.7, 60672
134.8, 60672
134.9, 60672
135, 60672
135.1, 60672
135.2, 60672
135.3, 60672
135.4, 60672
135.5, 60672
135.6, 60672
135.7, 61952
135.8, 61952
135.9, 61952
136, 61952
136.1, 61952
136.2, 61952
136.3, 61952
136.4, 61952
136.5, 61952
136.6, 61952
136.7, 61248
136.8, 61248
136.9, 61248
137, 61248
137.1, 61248
137.2, 61248
137.3, 61248
137.4, 61248
137.5, 61248
137.6, 61248
137.7, 61888
137.8, 61888
137.9, 61888
138, 61888
138.1, 61888
138.2, 61888
138.3, 61888
138.4, 61888
138.5, 61888
138.6, 61888
138.7, 60224
138.8, 60224
138.9, 60224
139, 60224
139.1, 60224
139.2, 60224
139.3, 60224
139.4, 60224
139.5, 60224
139.6, 60224
139.7, 61312
139.8, 61312
139.9, 61312
140, 61312
140.1, 61312
140.2, 61312
140.3, 61312
140.4, 61312
140.5, 61312
140.6, 61312
140.7, 62208
140.8, 62208
140.9, 62208
141, 62208
141.1, 62208
141.2, 62208
141.3, 62208
141.4, 62208
